,building_id,site_id,sqm,yearbuilt
0,Panther_lodging_Dean,Panther,508.8,1989.0
1,Panther_lodging_Shelia,Panther,929.0,1992.0
2,Panther_lodging_Ricky,Panther,483.1,2016.0
3,Panther_education_Rosalie,Panther,690.5,2008.0
4,Panther_education_Misty,Panther,252.7,2004.0
5,Panther_office_Daina,Panther,133.8,1983.0
6,Panther_education_Mattie,Panther,499.4,1991.0
7,Panther_office_Woodrow,Panther,537.8,1996.0
8,Panther_education_Diann,Panther,2200.4,2002.0
9,Panther_education_Gina,Panther,10833.1,1975.0
10,Panther_education_Tina,Panther,743.2,2000.0
11,Panther_lodging_Russell,Panther,2594.4,1981.0
12,Panther_education_Guillermina,Panther,2064.3,2002.0
13,Panther_lodging_Amos,Panther,1337.2,1997.0
14,Panther_education_Vincent,Panther,11248.1,1989.0
15,Panther_education_Shelton,Panther,5649.3,2003.0
16,Panther_office_Karla,Panther,2508.4,2010.0
17,Panther_assembly_Denice,Panther,34445.9,1991.0
18,Panther_education_Sophia,Panther,4559.0,1968.0
19,Panther_lodging_Bonnie,Panther,1290.4,2013.0
20,Panther_lodging_Willa,Panther,3446.7,1999.0
21,Panther_education_Annetta,Panther,9232.7,2000.0
22,Panther_education_Aurora,Panther,8012.9,2013.0
23,Panther_office_Graham,Panther,7799.9,1974.0
24,Panther_education_Karri,Panther,5076.6,1996.0
25,Panther_office_Valarie,Panther,1416.8,1980.0
26,Panther_education_Richard,Panther,534.3,1976.0
27,Panther_education_Hugh,Panther,10395.0,1996.0
28,Panther_lodging_Arlene,Panther,879.8,1988.0
29,Panther_office_Larry,Panther,1738.9,2004.0
30,Panther_education_Lacey,Panther,337.0,1995.0
31,Panther_education_Mohammad,Panther,10244.6,1977.0
32,Panther_office_Jeane,Panther,654.3,1990.0
33,Panther_education_Jonathan,Panther,331.6,1996.0
34,Panther_education_Genevieve,Panther,12159.6,1985.0
35,Panther_education_Alecia,Panther,9805.4,2001.0
36,Panther_office_Jesus,Panther,9595.6,1969.0
37,Panther_office_Catherine,Panther,2504.0,2005.0
38,Panther_lodging_Awilda,Panther,5499.9,1999.0
39,Panther_lodging_Aaron,Panther,526.0,2013.0
40,Panther_office_Garth,Panther,4919.9,2016.0
41,Panther_education_Quintin,Panther,10578.5,2006.0
42,Panther_education_Teofila,Panther,8723.3,1999.0
43,Panther_education_Ivan,Panther,5751.1,2001.0
44,Panther_office_Shauna,Panther,4495.8,2005.0
45,Panther_lodging_Hattie,Panther,3594.0,2002.0
46,Panther_lodging_Jana,Panther,3969.8,2002.0
47,Panther_lodging_Teresita,Panther,3866.3,2002.0
48,Panther_lodging_Cornelia,Panther,4935.9,2002.0
49,Panther_lodging_Tracie,Panther,4935.9,2002.0
50,Panther_office_Bryce,Panther,620.1,1998.0
51,Panther_office_Lois,Panther,1186.3,2013.0
52,Panther_office_Taryn,Panther,6003.3,1969.0
53,Panther_assembly_David,Panther,2503.2,2001.0
54,Panther_office_Kristen,Panther,8719.9,1968.0
55,Panther_other_Lucina,Panther,21043.1,1968.0
56,Panther_retail_Kristina,Panther,5487.9,1980.0
57,Panther_lodging_Heather,Panther,1070.1,1991.0
58,Panther_lodging_Otis,Panther,461.6,1989.0
59,Panther_lodging_Jacquelyn,Panther,1290.4,2013.0
60,Panther_lodging_Juliet,Panther,557.4,1993.0
61,Panther_retail_Rachel,Panther,26.3,1985.0
62,Panther_retail_Gilbert,Panther,1421.8,2016.0
63,Panther_retail_Lester,Panther,840.3,2016.0
64,Panther_retail_Felix,Panther,2941.9,2008.0
65,Panther_other_Tyrone,Panther,889.0,1989.0
66,Panther_lodging_Carroll,Panther,1361.2,1994.0
67,Panther_lodging_Paulette,Panther,351.9,1994.0
68,Panther_lodging_Alyssa,Panther,1361.2,1994.0
69,Panther_other_Iva,Panther,255.5,2011.0
70,Panther_lodging_Myrtle,Panther,2272.0,1968.0
71,Panther_other_Luis,Panther,494.8,2005.0
72,Panther_other_Bettie,Panther,436.5,1981.0
73,Panther_parking_Asia,Panther,36012.7,2014.0
74,Panther_education_Edna,Panther,9896.3,1970.0
75,Panther_office_Otto,Panther,8151.5,1971.0
76,Panther_education_Violet,Panther,730.9,2011.0
77,Panther_office_Christian,Panther,1553.9,2011.0
78,Panther_lodging_Alita,Panther,5582.4,2013.0
79,Panther_lodging_Edison,Panther,6072.0,2013.0
80,Panther_lodging_Sonja,Panther,7746.2,2013.0
81,Panther_assembly_Pamella,Panther,7556.5,2005.0
82,Panther_education_Neal,Panther,7578.7,1997.0
83,Panther_lodging_Blaine,Panther,3594.0,2001.0
84,Panther_lodging_Floyd,Panther,3969.8,2001.0
85,Panther_lodging_Jorge,Panther,3866.3,2001.0
86,Panther_lodging_Edmond,Panther,4935.9,2001.0
87,Panther_lodging_Kaitlin,Panther,4935.9,2001.0
88,Panther_office_Gino,Panther,78.0,2000.0
89,Panther_lodging_Fausto,Panther,3459.8,1981.0
90,Panther_lodging_Janice,Panther,2272.0,1968.0
91,Panther_parking_Charlene,Panther,45284.0,2007.0
92,Panther_parking_Jody,Panther,36012.7,2000.0
93,Panther_parking_Mellissa,Panther,36012.7,2007.0
94,Panther_parking_Clarence,Panther,37179.8,2011.0
95,Panther_parking_Stanley,Panther,36012.7,1998.0
96,Panther_parking_Adela,Panther,36012.7,2002.0
97,Panther_parking_Lorriane,Panther,36012.7,2008.0
98,Panther_parking_Alaina,Panther,36012.7,1997.0
99,Panther_education_Zelda,Panther,7519.8,2010.0
100,Panther_education_Jerome,Panther,11974.0,2009.0
101,Panther_lodging_Drew,Panther,785.0,1988.0
102,Panther_lodging_Anastasia,Panther,2272.0,1968.0
103,Panther_retail_Jeanette,Panther,1162.7,1976.0
104,Panther_education_Enriqueta,Panther,7084.5,2007.0
105,Panther_office_Lauretta,Panther,3366.8,2010.0
106,Panther_office_Patti,Panther,14503.2,2001.0
107,Panther_other_Ismael,Panther,364.0,2008.0
108,Panther_other_Bethel,Panther,281.0,1979.0
109,Panther_office_Brent,Panther,998.1,1974.0
110,Panther_other_Lula,Panther,192.3,1996.0
111,Panther_office_Hannah,Panther,375.1,1986.0
112,Panther_lodging_Else,Panther,3459.8,1981.0
113,Panther_education_Janis,Panther,1015.6,1986.0
114,Panther_assembly_Carrol,Panther,595.7,2006.0
115,Panther_assembly_Gwyneth,Panther,7109.6,2007.0
116,Panther_education_Jarrett,Panther,249.4,1968.0
117,Panther_retail_Romeo,Panther,15027.5,1996.0
118,Panther_lodging_Gale,Panther,5499.9,1999.0
119,Panther_education_Emily,Panther,6326.1,2003.0
120,Panther_office_Lavinia,Panther,1001.4,1970.0
121,Panther_office_Clementine,Panther,3100.2,1982.0
122,Panther_education_Scarlett,Panther,2737.8,1968.0
123,Panther_lodging_Georgie,Panther,1221.8,1990.0
124,Panther_lodging_Kara,Panther,18667.3,2006.0
125,Panther_lodging_Kirk,Panther,18667.3,2006.0
126,Panther_lodging_Cora,Panther,17433.0,2007.0
127,Panther_lodging_Marisol,Panther,18667.3,2007.0
128,Panther_office_Danica,Panther,210.0,2016.0
129,Panther_education_Joyce,Panther,7896.8,1991.0
130,Panther_lodging_Dianna,Panther,2272.0,1968.0
131,Panther_office_Antonette,Panther,1752.2,1986.0
132,Panther_office_Christin,Panther,1474.9,1983.0
133,Panther_education_Cleopatra,Panther,2012.0,2016.0
134,Panther_office_Ruthie,Panther,4211.3,2003.0
135,Panther_lodging_Marlyn,Panther,950.4,1968.0
136,Robin_education_Kiera,Robin,4703.0,
137,Robin_education_Della,Robin,499.3,
138,Robin_education_Lashandra,Robin,9061.0,2005.0
139,Robin_education_Megan,Robin,7579.0,1913.0
140,Robin_education_Mercedes,Robin,5295.0,1953.0
141,Robin_education_Audrea,Robin,2584.0,2006.0
142,Robin_education_Derrick,Robin,10994.0,1909.0
143,Robin_education_Karyl,Robin,2992.0,
144,Robin_education_Madeline,Robin,9335.0,1958.0
145,Robin_education_Leslie,Robin,12977.0,1958.0
146,Robin_education_So,Robin,12051.0,1968.0
147,Robin_education_Jasper,Robin,3462.0,
148,Robin_education_Cecilia,Robin,1439.0,2004.0
149,Robin_education_Julius,Robin,12850.0,1960.0
150,Robin_education_Margarito,Robin,8468.0,2007.0
151,Robin_education_Zenia,Robin,6337.0,1976.0
152,Robin_education_Derick,Robin,13965.0,1906.0
153,Robin_education_Terrance,Robin,7714.9,1991.0
154,Robin_education_Kristopher,Robin,5686.0,1989.0
155,Robin_education_Billi,Robin,3560.0,1900.0
156,Robin_education_Takako,Robin,1561.0,1995.0
157,Robin_education_Lizbeth,Robin,2001.0,2004.0
158,Robin_lodging_Donna,Robin,2515.0,
159,Robin_lodging_Renea,Robin,9548.0,1956.0
160,Robin_lodging_Elmer,Robin,9565.0,1968.0
161,Robin_lodging_Dorthy,Robin,5842.9,1960.0
162,Robin_lodging_Janie,Robin,6193.0,1930.0
163,Robin_lodging_Celia,Robin,7721.0,1995.0
164,Robin_lodging_Oliva,Robin,6013.0,1960.0
165,Robin_lodging_Pricilla,Robin,4607.0,1998.0
166,Robin_lodging_Phillip,Robin,6181.0,1967.0
